sourceA,idA,sourceB,idB,overlap,similarity
frick,10689,frick,10689a,98.10,27.20
frick,10689a,frick,10689,98.42,23.70
frick,10690a,zeri,67181,43.02,7.84
frick,10695,zeri,65880,100.00,25.50
frick,10695,zeri,65879,100.00,21.20
frick,10696,zeri,70425,100.00,59.60
frick,10697,zeri,68057,100.00,21.20
frick,10697,zeri,68056,100.00,20.40
frick,10697,frick,10697a,100.00,13.30
frick,10697,zeri,68055,100.00,11.80
frick,10697a,zeri,68056,98.46,20.40
frick,10697a,zeri,68055,100.00,15.30
frick,10697a,frick,10697,89.27,11.40
frick,10698,zeri,70309,98.15,11.80
frick,10704,zeri,66046,99.23,69.80
frick,10707,zeri,68199,99.99,36.30
frick,10708,zeri,77169,100.00,61.20
frick,10708,zeri,77168,100.00,58.40
frick,10710,zeri,70193,99.56,49.40
frick,10712,zeri,78099,95.67,70.20
frick,10712,zeri,78100,99.60,66.30
frick,10737b,frick,10737,100.00,7.45
frick,10739b,frick,10739c,100.00,13.70
frick,10739c,frick,10739b,42.52,13.40
frick,1074,zeri,80035,81.15,15.70
frick,10740a,frick,10740h,51.53,12.20
frick,10740c,frick,10740i,40.55,12.20
frick,10740c,frick,10740l,37.51,9.06
frick,10740f,frick,10740o,32.92,8.63
frick,10740l,frick,10740c,100.00,6.67
frick,10740i,frick,10740c,36.13,13.30
frick,10740h,frick,10740a,71.82,11.80
frick,10741,frick,10741c,86.05,7.45
frick,10741a,frick,10741d,77.19,8.63
frick,10741c,frick,10741,80.79,7.48
frick,10741d,frick,10741a,100.00,5.49
frick,10744,frick,10744f,95.31,14.90
frick,10744a,frick,10744b,92.13,15.70
frick,10744a,frick,10744c,100.00,12.50
frick,10744b,frick,10744c,100.00,18.00
frick,10744b,frick,10744a,53.15,12.20
frick,10744d,frick,10744a,100.00,11.80
frick,10744c,frick,10744b,83.81,17.60
frick,10744c,frick,10744a,47.16,12.20
frick,10744f,frick,10744,100.00,16.10
frick,10750b,frick,10750c,89.34,16.90
frick,10750c,frick,10750b,95.64,12.90
frick,10754,frick,10754b,27.27,6.67
frick,10754b,frick,10754,87.36,5.91
frick,10765,frick,1030,97.75,50.00
frick,10773f,frick,10773e,19.72,8.63
frick,10773e,frick,10773f,100.00,7.06
frick,10781,frick,10781b,63.91,17.30
frick,10781,frick,11036,56.52,15.70
frick,10781d,frick,10781c,87.48,31.00
frick,10781c,frick,10781d,69.17,29.00
frick,10781b,frick,11036,90.02,40.00
frick,10781b,frick,10781,100.00,15.30
frick,10781e,frick,10781f,100.00,26.70
frick,10781f,frick,10781e,49.43,29.40
frick,10785q,frick,11071,100.00,7.06
frick,10786a,frick,10786c,38.53,11.40
frick,10786c,frick,10786a,36.23,9.80
frick,10791,frick,10791a,50.50,11.00
frick,10791a,frick,10791,100.00,8.24
frick,10791e,frick,10791f,23.53,10.20
frick,10791f,frick,10791e,100.00,8.24
frick,10796a,frick,11086,100.00,12.90
frick,10797b,frick,1029,99.96,47.50
frick,10797e,frick,10797f,98.71,69.30
frick,10797f,frick,10797e,98.41,70.60
frick,108,zeri,65944,100.00,31.10
frick,10804,frick,10804e,33.17,13.70
frick,10804e,frick,10804,100.00,10.60
frick,10806,frick,11078,95.62,51.80
frick,10815,frick,11049,89.90,60.00
frick,10823ac,frick,10901e,100.00,81.60
frick,10823ai,frick,10869,98.62,83.90
frick,10823e,frick,10823i,47.23,22.00
frick,10823i,frick,10823e,100.00,18.80
frick,10823p,frick,10823q,50.83,24.00
frick,10823q,frick,10823p,100.00,22.40
frick,10823r,frick,10823s,67.46,13.40
frick,10823s,frick,10823r,91.18,14.10
frick,10830a,frick,10830,100.00,7.45
frick,10837a,frick,10837b,40.36,21.20
frick,10837b,frick,10837g,37.62,22.40
frick,10837b,frick,10837a,100.00,18.00
frick,10837c,frick,10837z,98.67,74.10
frick,10837g,frick,10837b,100.00,23.90
frick,10837g,frick,10837h,46.38,18.00
frick,10837h,frick,10837g,100.00,17.60
frick,10837o,frick,10837r,76.18,47.80
frick,10837r,frick,10837o,77.62,48.60
frick,10837z,frick,10837c,99.61,72.50
frick,10839s,frick,10839t,69.54,31.00
frick,10839t,frick,10839s,65.64,30.60
frick,10842a,frick,10842,30.24,7.84
frick,10842,frick,10842a,28.54,9.02
frick,10851a,frick,103a,95.44,67.10
frick,1085,frick,1202,100.00,49.40
frick,10851b,frick,103b,97.17,62.00
frick,10853f,frick,10853e,30.61,8.63
frick,10856,zeri,54668,95.18,54.90
frick,10869,frick,10823ai,99.85,82.00
frick,10874,zeri,47798,100.00,25.90
frick,10877,frick,10877a,50.08,10.20
frick,10877a,frick,10877,100.00,10.60
frick,10879,zeri,55069,99.06,68.20
frick,10879,zeri,55068,100.00,22.70
frick,10878a,zeri,55532,85.63,10.20
frick,10880,zeri,54656,93.23,62.70
frick,10883,zeri,54664,94.38,59.60
frick,10883,zeri,54663,93.06,45.90
frick,10882,zeri,72240,99.90,43.50
frick,10884,zeri,54416,100.00,20.80
frick,10886,zeri,72246,99.02,57.60
frick,10886,zeri,72245,99.68,51.40
frick,1089,zeri,101232,100.00,13.70
frick,1089,zeri,101231,100.00,11.40
frick,10892,zeri,54645,87.12,11.10
frick,10896,zeri,72255,96.98,61.70
frick,10898,zeri,72257,96.28,60.00
frick,10899,zeri,54670,100.00,43.50
frick,10901b,frick,10901f,100.00,87.10
frick,10901e,frick,10823ac,99.21,79.90
frick,10901f,frick,10901b,99.35,85.10
frick,10906,zeri,54652,98.25,54.50
frick,10906,zeri,54651,100.00,43.90
frick,10906a,zeri,55562,93.85,49.40
frick,10906a,zeri,55561,99.87,40.80
frick,10906b,zeri,54644,98.30,52.90
frick,10907,frick,10907a,51.82,16.90
frick,10907a,frick,10907,57.24,16.90
frick,1092,frick,8695,99.38,43.10
frick,10924,zeri,87099,100.00,51.40
frick,10923,frick,1814,94.71,43.10
frick,10927,zeri,72210,100.00,19.20
frick,10927,zeri,72208,99.12,13.70
frick,10934,zeri,90165,99.56,64.30
frick,10937,zeri,76739,98.10,71.40
frick,10938,zeri,93132,100.00,56.50
frick,10938,zeri,93131,97.89,24.30
frick,10938,zeri,93133,97.02,20.80
frick,10938,zeri,93096,100.00,20.00
frick,10945b,frick,10979,99.18,76.10
frick,10966,frick,10966a,99.32,42.00
frick,10966a,frick,10966,100.00,46.10
frick,10967,frick,12844,78.83,10.60
frick,10979,frick,10945b,99.54,77.30
frick,10980,frick,10980a,68.35,17.30
frick,10980a,frick,10980,86.89,16.10
frick,10983a,zeri,76408,90.17,17.30
frick,10987,frick,3985,99.79,33.70
frick,1099,zeri,99596,99.14,53.70
frick,1099,zeri,99597,99.84,45.50
frick,10993,frick,10993c,96.15,49.00
frick,10993a,frick,11322,99.31,41.20
frick,10993b,frick,11324,99.69,51.00
frick,10993c,frick,10993,99.14,46.50
frick,10993d,frick,11320,98.13,45.10
frick,10993f,frick,11323,100.00,52.20
frick,10993g,frick,11326,100.00,53.00
frick,10993h,frick,11321,87.53,33.70
frick,10a,frick,10,79.63,19.60
frick,1100,zeri,59062,99.90,29.20
frick,1100,zeri,59065,99.80,28.50
frick,1100,zeri,59061,99.39,27.70
frick,1100,zeri,59064,100.00,22.50
frick,1100,zeri,59063,99.04,18.20
frick,11001,frick,5161,100.00,50.80
frick,11011,frick,5773,100.00,12.20
frick,11017,frick,11017a,94.52,15.30
frick,11017a,frick,11017,93.90,16.10
frick,11026,frick,10026,100.00,78.40
frick,11027,frick,10488,100.00,18.00
frick,11036,frick,10781b,98.39,40.80
frick,11036,frick,10781,100.00,16.50
frick,11040,frick,11044,87.80,19.60
frick,11044,frick,11040,100.00,16.10
frick,11049,frick,10815,100.00,55.70
frick,11078,frick,10806,100.00,51.80
frick,11086,frick,10796a,86.73,13.30
frick,11086,frick,10796c,100.00,7.84
frick,11090,zeri,80540,100.00,39.20
frick,11090a,zeri,80539,100.00,45.90
frick,11097,frick,2328,81.77,23.90
frick,11098,zeri,75136,90.06,26.10
frick,11100,zeri,73199,100.00,54.60
frick,11099,zeri,74186,98.33,29.80
frick,11099,zeri,74187,95.98,18.00
frick,11111,frick,14361,42.13,18.80
frick,11113,frick,14354,100.00,54.50
frick,11114,frick,11172,99.36,49.40
frick,11119,zeri,54630,100.00,46.90
frick,11123,frick,9528,99.82,19.20
frick,11136,frick,14365,99.06,54.10
frick,11151,frick,14358,88.89,50.60
frick,11154,frick,14356,98.69,41.10
frick,11153,frick,14353,100.00,56.90
frick,11156,frick,14363,94.56,58.40
frick,11156,frick,14359,97.18,56.90
frick,11163,frick,14362,99.55,62.70
frick,11172,frick,11114,99.31,47.10
frick,11188,frick,14360,84.54,49.00
frick,11190,frick,14368,75.23,29.80
frick,11207a,frick,11207,98.44,40.80
frick,11207,frick,11207a,99.70,41.20
frick,11257a,frick,9628,99.97,65.90
frick,11257a,frick,9978,99.97,65.90
frick,11257a,frick,12257a,100.00,55.70
frick,11257a,frick,7747,96.93,53.30
frick,11257,frick,12257,100.00,65.90
frick,11257,frick,7747i,92.34,61.60
frick,11257b,frick,7747d,98.78,62.00
frick,11257b,frick,12257b,99.91,37.60
frick,11272,frick,11327,100.00,56.10
frick,11283,frick,3128,100.00,49.40
frick,11284,frick,3129,94.34,47.10
frick,11285,frick,3125,100.00,16.90
frick,11318,frick,11318a,99.93,46.30
frick,11318a,frick,11318,99.38,46.70
frick,11320,frick,10993d,99.13,44.30
frick,11323,frick,10993f,97.11,49.60
frick,11322,frick,10993a,98.05,40.40
frick,11324,frick,10993b,99.48,49.00
frick,11321,frick,10993h,100.00,35.40
frick,11326,frick,10993g,97.03,48.20
frick,11327,frick,11272,93.54,55.70
frick,11343,frick,11343a,99.81,60.20
frick,11343a,frick,11343,98.67,48.20
frick,11400,zeri,76806,100.00,50.20
frick,11401a,zeri,76874,100.00,30.60
frick,11404an,frick,11404ao,50.79,5.49
frick,11404ao,frick,11404ap,65.39,7.45
frick,11404ao,frick,11404an,54.66,7.06
frick,11404ap,frick,11404ao,58.74,8.24
frick,11404ap,frick,11404aq,60.64,4.71
frick,11404ar,frick,11404as,56.58,6.27
frick,11404av,frick,11404az,52.40,11.80
frick,11404at,frick,11404au,55.45,8.24
frick,11404at,frick,11404as,58.15,4.71
frick,11404au,frick,11404at,56.49,6.67
frick,11404as,frick,11404ar,58.95,8.24
frick,11404az,frick,11404av,51.17,8.63
frick,11404bg,frick,11404bh,51.79,6.67
frick,11404bh,frick,11404bg,55.20,5.88
frick,11404bi,frick,11404bl,55.07,5.49
frick,11404bo,frick,11404bn,62.97,7.45
frick,11404bn,frick,11404bo,62.58,6.27
frick,11404br,frick,11404bs,58.91,5.49
frick,11404bs,frick,11404br,59.40,4.31
frick,11404bu,frick,11404bv,63.29,5.88
frick,11404bu,frick,11404bt,56.61,5.10
frick,11404bz,frick,11404ca,59.91,5.10
frick,11404bz,frick,11404bv,61.20,4.71
frick,11404bv,frick,11404bu,62.28,7.45
frick,11404bv,frick,11404bz,57.44,3.92
frick,11404cd,frick,11404cc,55.51,7.45
frick,11404cb,frick,11404cc,57.16,6.67
frick,11404cb,frick,11404ca,56.40,5.10
frick,11404cc,frick,11404cd,57.96,7.06
frick,11404cc,frick,11404cb,55.56,5.88
frick,11404cf,frick,11404cg,58.75,7.45
frick,11404ch,frick,11404ci,99.83,65.50
frick,11404ch,frick,11404cl,55.32,6.27
frick,11404cg,frick,11404cf,60.44,7.06
frick,11404ci,frick,11404ch,96.43,65.50
frick,11404ci,frick,11404cl,55.76,5.10
frick,11404cl,frick,11404ch,55.20,7.45
frick,11404cl,frick,11404ci,59.05,5.49
frick,11404dh,frick,11404dm,48.10,7.06
frick,11404dr,frick,11404dt,47.81,4.71
frick,11404dq,frick,11404dt,46.32,5.10
frick,11404ds,frick,11404dv,51.07,4.31
frick,11404dt,frick,11404dr,45.72,7.06
frick,11404dt,frick,11404dz,48.88,7.06
frick,11404dz,frick,11404dt,48.46,7.84
frick,11404dz,frick,11404du,48.72,5.10
frick,11404eo,frick,11404ei,39.75,4.31
frick,11404eq,frick,11404es,45.03,7.06
frick,11404m,frick,11404n,32.12,4.78
frick,11414a,frick,11414,99.16,39.20
frick,11414,frick,11414a,98.51,37.60
frick,11419,frick,11419a,87.39,18.50
frick,11419a,frick,11419,97.89,19.00
frick,11420,zeri,56118,99.47,40.40
frick,11422a,zeri,56062,95.78,58.40
frick,11422a,zeri,56061,90.42,22.40
frick,11422a,frick,11422b,91.17,17.30
frick,11423,zeri,56059,100.00,60.00
frick,11422b,zeri,56061,99.61,58.40
frick,11422b,frick,11422a,100.00,18.80
frick,11422b,zeri,56062,100.00,18.80
frick,11423a,zeri,56060,100.00,58.40
frick,11425,frick,11425a,100.00,23.50
frick,11425a,frick,11425,96.79,19.20
frick,11427a,frick,11427,100.00,3.92
frick,11431,zeri,56071,94.64,36.50
frick,11432,zeri,56065,99.83,24.70
frick,11433a,zeri,56205,97.13,59.20
frick,11437,zeri,55267,58.28,31.00
frick,11437,zeri,55266,79.16,27.10
frick,11439,zeri,56200,100.00,48.00
frick,11440,zeri,56075,96.78,67.10
frick,11441,zeri,56027,95.92,43.50
frick,11441,zeri,56025,97.38,43.10
frick,11442,zeri,56100,99.97,32.90
frick,11444,zeri,56117,100.00,38.80
frick,11446,zeri,56206,41.71,17.30
frick,11446,zeri,56208,36.66,17.30
frick,11446,zeri,56209,42.85,9.45
frick,11446,frick,11446b,44.89,7.87
frick,11446a,zeri,56207,100.00,66.30
frick,11446a,zeri,56206,79.27,15.70
frick,11446b,zeri,56209,97.43,68.50
frick,11446b,zeri,56208,74.93,16.90
frick,11446b,frick,11446,92.33,8.27
frick,11447,zeri,56198,100.00,65.90
frick,11449,zeri,56119,98.91,60.40
frick,11450,zeri,56130,93.44,47.50
frick,11454,zeri,43005,100.00,74.50
frick,11456,zeri,76773,100.00,61.00
frick,11459,zeri,55432,82.77,21.20
frick,11470,zeri,56237,97.63,60.40
frick,11477b,frick,11477d,99.30,21.60
frick,11477d,frick,11477b,99.72,21.20
frick,11477d,frick,11477g,34.24,5.10
frick,11477g,frick,11477d,89.48,6.35
frick,11482,frick,11482a,100.00,16.90
frick,11483,frick,11483a,100.00,33.50
frick,11482a,frick,11482,100.00,16.10
frick,11483a,frick,11483,95.57,27.20
frick,11483e,frick,11483d,100.00,15.40
frick,11483d,frick,11483e,82.91,13.30
frick,11484,frick,11484a,78.42,10.20
frick,11484a,frick,11484,100.00,10.60
frick,11484e,frick,11484d,41.83,9.02
frick,11484d,frick,11484e,44.14,9.02
frick,11486,frick,11486a,83.09,14.20
frick,11486a,frick,11486,100.00,13.70
frick,11489,frick,11489a,100.00,15.30
